,Gene Symbol,Interactor Symbol,Entrez ID,Evidence,Interactor Name,Uniport ID,Reference,Species,Interaction Type,edge,loci,loci-Gene-Symbol,loci-Interactor-Symbol
15,ACTN4,ADORA2A,135,Y2H,adenosine A2a receptor,P29274,12837758,Homo sapiens,Protein Binding,"ACTN4,ADORA2A",,19q13.2,22q11.23
18,ADA,ACTBL2,345651,IP;     LC-MS/MS,"actin, beta-like 2",Q562R1,26186194,Homo sapiens,Protein Binding,"ADA,ACTBL2",,20q13.12,0
19,ADA,ADORA2B,136,IP/WB,adenosine A2b receptor,P29275,11125033,Homo sapiens,Protein Binding,"ADA,ADORA2B",,20q13.12,0
20,ADA,DPP4,1803,Affinity chromatography;      Reversed-phase chromatography (RPC);      IP/WB;      Peptide mapping,dipeptidyl-peptidase 4,P27487,8101391,Homo sapiens,Protein Binding,"ADA,DPP4",,20q13.12,2q24.2
21,ADA,GRB2,2885,Y2H;      GST;      IP/WB,growth factor receptor-bound protein 2,P62993,9299436,Homo sapiens,Protein Binding,"ADA,GRB2",,20q13.12,0
22,ADA,POTEF,728378,IP;     LC-MS/MS,POTE ankyrin domain family member F,A5A3E0,26186194,Homo sapiens,Protein Binding,"ADA,POTEF",,20q13.12,0
31,ADCY5,CHD8,57680,CHIP-seq,chromodomain helicase DNA binding protein 8,Q9HCK8,25752243,Homo sapiens,DNA Binding,"ADCY5,CHD8",,3q21.1,14q11.2
32,ADK,CHD8,57680,ChIP-chip,chromodomain helicase DNA binding protein 8,Q9HCK8,24265227,Homo sapiens,DNA Binding,"ADK,CHD8",,10q22.2,14q11.2
33,ADK,FGB,2244,IP;     LC-MS/MS,fibrinogen beta chain,P02675,26186194,Homo sapiens,Protein Binding,"ADK,FGB",,10q22.2,0
34,ADK,FICD,11153,Y2H,Adenosine monophosphate-protein transferase FICD,Q9BVA6,21988832,Homo sapiens,Protein Binding,"ADK,FICD",,10q22.2,0
35,ADK,FMR1,2332,PAR-CLIP,fragile X mental retardation 1,G8JLE9,23235829,Homo sapiens,RNA Binding,"ADK,FMR1",,10q22.2,Xq27.3
36,ADK,SRD5A3,79644,Y2H,Polyprenol reductase,Q9H8P0,21988832,Homo sapiens,Protein Binding,"ADK,SRD5A3",,10q22.2,0
37,ADK,UBC,7316,LC-MS/MS,ubiquitin C,P63279,21139048,Homo sapiens,Protein Binding,"ADK,UBC",,10q22.2,0
38,ADNP,2-Sep,4735,LC-MS/MS,septin 2,Q15019,22939629,Homo sapiens,Protein Binding,"ADNP,2-Sep",,20q13.13,0
39,ADNP,ADNP,23394,ChIP,activity-dependent neuroprotector homeobox,Q9H2P0,21647709,Homo sapiens,DNA Binding,"ADNP,ADNP",,20q13.13,20q13.13
40,ADNP,ARID1A,8289,IP/WB,AT rich interactive domain 1A (SWI-like),O14497,17878164,Homo sapiens,Protein Binding,"ADNP,ARID1A",,20q13.13,0
41,ADNP,CBX1,10951,"in vitro binding assay;      Co-localization,MS;      IP/WB",chromobox homolog 1,P83916,21888893,Homo sapiens,Protein Binding,"ADNP,CBX1",,20q13.13,0
42,ADNP,CBX3,11335,"in vitro binding assay;      Co-localization,MS;      IP/WB",chromobox homolog 3,Q13185,21888893,Homo sapiens,Protein Binding,"ADNP,CBX3",,20q13.13,0
43,ADNP,CBX5,23468,"in vitro binding assay,MS;      IP/WB",chromobox homolog 5,Q61686,21888893,Homo sapiens,Protein Binding,"ADNP,CBX5",,20q13.13,0
44,ADNP,CDC27,996,Y2H,cell division cycle 27,G3V1C4,21988832,Homo sapiens,Protein Binding,"ADNP,CDC27",,20q13.13,0
45,ADNP,CHD8,57680,ChIP-chip,chromodomain helicase DNA binding protein 8,Q9HCK8,24265227,Homo sapiens,DNA Binding,"ADNP,CHD8",,20q13.13,14q11.2
46,ADNP,EB1,22919,in silico target prediction,Microtubule-associated protein RP/EB family member 1,Q15691,25178163,Homo sapiens,Protein Binding,"ADNP,EB1",,20q13.13,0
47,ADNP,EB2,10982,in silico target prediction,Microtubule-associated protein RP/EB family member 2,Q15555,25178163,Homo sapiens,Protein Binding,"ADNP,EB2",,20q13.13,0
48,ADNP,EB3,22924,in silico target prediction,Microtubule-associated protein RP/EB family member 3,Q9UPY8,25178163,Homo sapiens,Protein Binding,"ADNP,EB3",,20q13.13,0
49,ADNP,EBNA1BP2,10969,LC-MS/MS,EBNA1 binding protein 2,H7C2Q8,22939629,Homo sapiens,Protein Binding,"ADNP,EBNA1BP2",,20q13.13,0
50,ADNP,EMD,2010,LC-MS/MS,emerin,P50402,22939629,Homo sapiens,Protein Binding,"ADNP,EMD",,20q13.13,0
51,ADNP,H3F3A,3020,in vitro binding assay;      IP;      LC-MS/MS;      IP/WB;      Co-localization,"H3 histone, family 3A",P84243,21267468,Homo sapiens,Protein Binding,"ADNP,H3F3A",,20q13.13,0
52,ADNP,HDAC1,3065,LC-MS/MS,histone deacetylase 1,Q13547,23752268,Homo sapiens,Protein Binding,"ADNP,HDAC1",,20q13.13,0
53,ADNP,HDAC11,79885,LC-MS/MS,histone deacetylase 11,Q96DB2,23752268,Homo sapiens,Protein Binding,"ADNP,HDAC11",,20q13.13,0
54,ADNP,HDAC7,51564,IP;     LC-MS/MS,histone deacetylase 7,Q8WUI4,26186194,Homo sapiens,Protein Binding,"ADNP,HDAC7",,20q13.13,0
55,ADNP,MAP1LC3B,81631,"IP/WB,Y2H",microtubule-associated protein 1 light chain 3 beta,Q9GZQ8,21900206,Homo sapiens,Protein Binding,"ADNP,MAP1LC3B",,20q13.13,0
56,ADNP,MAPRE1,22919,in vitro binding assay;      IP/WB,"microtubule-associated protein, RP/EB family, member 1",Q15691,25178163,Homo sapiens,Protein Binding,"ADNP,MAPRE1",,20q13.13,0
57,ADNP,MAPRE3,22924,in vitro binding assay;      IP/WB,"microtubule-associated protein, RP/EB family, member 3",Q9UPY8,25178163,Homo sapiens,Protein Binding,"ADNP,MAPRE3",,20q13.13,0
58,ADNP,MYC,4609,Size-exclusion chromatography (SEC);      MS,v-myc myelocytomatosis viral oncogene homolog (avian),P01106,21150319,Homo sapiens,Protein Binding,"ADNP,MYC",,20q13.13,0
59,ADNP,NCAPH2,29781,IP;     LC-MS/MS,"non-SMC condensin II complex, subunit H2",Q6IBW4,26186194,Homo sapiens,Protein Binding,"ADNP,NCAPH2",,20q13.13,22q13.33
60,ADNP,NFIA,4774,LC-MS/MS,nuclear factor I/A,Q12857,22939629,Homo sapiens,Protein Binding,"ADNP,NFIA",,20q13.13,1p31.3
61,ADNP,PHGDH,26227,LC-MS/MS,phosphoglycerate dehydrogenase,O43175,22939629,Homo sapiens,Protein Binding,"ADNP,PHGDH",,20q13.13,0
62,ADNP,POLG2,NM_007215,IP;     LC-MS/MS,"polymerase (DNA directed), gamma 2, accessory subunit",E5KS15,26186194,Homo sapiens,Protein Binding,"ADNP,POLG2",,20q13.13,0
63,ADNP,QPRT,23475,IP;     LC-MS/MS,Nicotinate-nucleotide pyrophosphorylase [carboxylating],Q15274,26186194,Homo sapiens,Protein Binding,"ADNP,QPRT",,20q13.13,0
64,ADNP,RRS1,23212,LC-MS/MS,RRS1 ribosome biogenesis regulator homolog (S. cerevisiae),Q15050,22939629,Homo sapiens,Protein Binding,"ADNP,RRS1",,20q13.13,0
65,ADNP,SAP18,10284,LC-MS/MS,"Sin3A-associated protein, 18kDa",O00422,22939629,Homo sapiens,Protein Binding,"ADNP,SAP18",,20q13.13,0
66,ADNP,SIRT7,51547,LC-MS/MS,sirtuin 7,Q9NRC8,22586326,Homo sapiens,Protein Binding,"ADNP,SIRT7",,20q13.13,0
67,ADNP,SMARCA4,6597,IP/WB,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",A7E2E1,17878164,Homo sapiens,Protein Binding,"ADNP,SMARCA4",,20q13.13,19p13.2
68,ADNP,SMARCC2,6601,IP/WB,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2",Q8TAQ2,17878164,Homo sapiens,Protein Binding,"ADNP,SMARCC2",,20q13.13,12q13.2
69,ADNP,SUMO2,6613,LC-MS/MS,SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae),P61956,21252943,Homo sapiens,Protein Binding,"ADNP,SUMO2",,20q13.13,0
70,ADNP,TOP3B,8940,IP/WB,topoisomerase (DNA) III beta,O95985,23912945,Homo sapiens,Protein Binding,"ADNP,TOP3B",,20q13.13,22q11.22
71,ADNP,UBC,7316,LC-MS/MS,ubiquitin C,P63279,21139048,Homo sapiens,Protein Binding,"ADNP,UBC",,20q13.13,0
72,ADNP,ZNF524,147807,IP;     LC-MS/MS,Zinc finger protein 524,Q96C55,26186194,Homo sapiens,Protein Binding,"ADNP,ZNF524",,20q13.13,0
73,ADNP,ZNF581,51545,IP;     LC-MS/MS,zinc finger protein 581,Q9P0T4,26186194,Homo sapiens,Protein Binding,"ADNP,ZNF581",,20q13.13,0
74,ADNP,ZSCAN20,7579,IP;     LC-MS/MS,zinc finger and SCAN domain containing 20,P17040,26186194,Homo sapiens,Protein Binding,"ADNP,ZSCAN20",,20q13.13,0
89,ADORA2A,ACTN1,87,Y2H;      GST;      IP/WB,"actinin, alpha 1",P12814,12837758,Homo sapiens,Protein Binding,"ADORA2A,ACTN1",,22q11.23,0
93,ADORA2A,ADORA2A,135,IP/WB;      Bioluminescence resonance energy transfer assay,adenosine A2a receptor,P29274,12804599,Homo sapiens,Protein Binding,"ADORA2A,ADORA2A",,22q11.23,22q11.23
94,ADORA2A,CYTH2,9266,Y2H;      GST;      FRET;      IP/WB,cytohesin 2,Q99418,16027149,Homo sapiens,Protein Binding,"ADORA2A,CYTH2",,22q11.23,0
95,ADORA2A,DRD2,1813,"bimolecular fluorescence complementation assay;    Bioluminescence resonance energy transfer assay;    Proximity ligation assay,IP/WB;      Bioluminescence resonance energy transfer assay",dopamine receptor D2,P14416,12804599,Homo sapiens,Protein Binding,"ADORA2A,DRD2",,22q11.23,11q23.2
96,ADORA2A,DRD2,1813,"bimolecular fluorescence complementation assay;    Bioluminescence resonance energy transfer assay;    Proximity ligation assay,IP/WB;      Bioluminescence resonance energy transfer assay",dopamine receptor D2,P14416,26100888,Homo sapiens,Protein Binding,"ADORA2A,DRD2",,22q11.23,11q23.2
98,ADORA2A,MECP2,4204,ChIP,methyl CpG binding protein 2 (Rett syndrome),P51608,20002525,Homo sapiens,DNA Binding,"ADORA2A,MECP2",,22q11.23,Xq28
100,ADORA2A,YY1,7528,ChIP,YY1 transcription factor,P25490,20666933,Homo sapiens,DNA Binding,"ADORA2A,YY1",,22q11.23,14q32.2
101,ADORA2A,ZNF148,7707,ChIP,zinc finger protein 148,Q9UQR1,20666933,Homo sapiens,DNA Binding,"ADORA2A,ZNF148",,22q11.23,0
104,ADRB2,2-Mar,51257,LC-MS/MS,E3 ubiquitin-protein ligase MARCH2,Q9P0N8,23166351,Homo sapiens,Protein Binding,"ADRB2,2-Mar",,5q32,0
105,ADRB2,ACTG1,71,TAP;      MS,"actin, gamma 1",P63261,23798571,Homo sapiens,Protein Binding,"ADRB2,ACTG1",,5q32,0
106,ADRB2,ADRB2,154,IP/WB;      Bioluminescence resonance energy transfer assay,"adrenergic, beta-2-, receptor, surface",P07550,11278447,Homo sapiens,Protein Binding,"ADRB2,ADRB2",,5q32,5q32
107,ADRB2,ADRBK1,156,GST,"adrenergic, beta, receptor kinase 1",P25098,11309381,Homo sapiens,Protein Modification,"ADRB2,ADRBK1",,5q32,0
108,ADRB2,AIFM1,9131,TAP;      MS,"apoptosis-inducing factor, mitochondrion-associated, 1",O95831,23798571,Homo sapiens,Protein Binding,"ADRB2,AIFM1",,5q32,0
109,ADRB2,AKAP12,9590,GST;      IP/WB,A kinase (PRKA) anchor protein 12,Q02952,11309381,Homo sapiens,Protein Binding,"ADRB2,AKAP12",,5q32,0
110,ADRB2,ALDH18A1,5832,TAP;      MS,"aldehyde dehydrogenase 18 family, member A1",P54886,23798571,Homo sapiens,Protein Binding,"ADRB2,ALDH18A1",,5q32,0
111,ADRB2,AMFR,267,TAP;      MS;      IP,"autocrine motility factor receptor, E3 ubiquitin protein ligase",Q9UKV5,23798571,Homo sapiens,Protein Binding,"ADRB2,AMFR",,5q32,0
112,ADRB2,ARRB2,409,"IP/WB; Bioluminescence resonance energy transfer assay,IP/WB","arrestin, beta 2",P32121,27226565,Homo sapiens,Protein Binding,"ADRB2,ARRB2",,5q32,0
114,ADRB2,ARRDC3,57561,"IP/WB,IP/WB; Bioluminescence resonance energy transfer assay;  in vitro binding assay; Co-localization",arrestin domain containing 3,Q96B67,20559325,Homo sapiens,Protein Binding,"ADRB2,ARRDC3",,5q32,0
115,ADRB2,ARRDC3,57561,"IP/WB,IP/WB; Bioluminescence resonance energy transfer assay;  in vitro binding assay; Co-localization",arrestin domain containing 3,Q96B67,27226565,Homo sapiens,Protein Binding,"ADRB2,ARRDC3",,5q32,0
116,ADRB2,ATP1A1,476,TAP;      MS,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",P05023,23798571,Homo sapiens,Protein Binding,"ADRB2,ATP1A1",,5q32,1p13.1
117,ADRB2,ATP1B3,483,TAP;      MS,"ATPase, Na+/K+ transporting, beta 3 polypeptide",P54709,23798571,Homo sapiens,Protein Binding,"ADRB2,ATP1B3",,5q32,0
118,ADRB2,ATP2A2,488,TAP;      MS,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",P16615,23798571,Homo sapiens,Protein Binding,"ADRB2,ATP2A2",,5q32,0
119,ADRB2,ATP2B4,493,TAP;      MS,"ATPase, Ca++ transporting, plasma membrane 4",P23634,23798571,Homo sapiens,Protein Binding,"ADRB2,ATP2B4",,5q32,0
120,ADRB2,ATP5A1,498,TAP;      MS,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle",P25705,23798571,Homo sapiens,Protein Binding,"ADRB2,ATP5A1",,5q32,0
121,ADRB2,ATP5B,506,TAP;      MS,"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide",P06576,23798571,Homo sapiens,Protein Binding,"ADRB2,ATP5B",,5q32,0
122,ADRB2,ATP5C1,509,TAP;      MS,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1",P36542,23798571,Homo sapiens,Protein Binding,"ADRB2,ATP5C1",,5q32,0
123,ADRB2,ATP5O,539,TAP;      MS,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",P48047,23798571,Homo sapiens,Protein Binding,"ADRB2,ATP5O",,5q32,0
124,ADRB2,C19orf6,91304,TAP;      MS,transmembrane protein 259,B3KTL0,23798571,Homo sapiens,Protein Binding,"ADRB2,C19orf6",,5q32,0
125,ADRB2,C1QBP,708,TAP;      MS,"complement component 1, q subcomponent binding protein",Q07021,23798571,Homo sapiens,Protein Binding,"ADRB2,C1QBP",,5q32,0
126,ADRB2,CACNA1C,775,"IP/WB,in vitro binding assay;  IP/WB;  Co-localization","calcium channel, voltage-dependent, L type, alpha 1C subunit",Q13936,11441182,Homo sapiens,Protein Binding,"ADRB2,CACNA1C",,5q32,12p13.33
128,ADRB2,CALM1,801,TAP;      MS,"calmodulin 1 (phosphorylase kinase, delta)",P62158,23798571,Homo sapiens,Protein Binding,"ADRB2,CALM1",,5q32,0
129,ADRB2,CALM2,805,TAP;      MS,"calmodulin 2 (phosphorylase kinase, delta)",P62158,23798571,Homo sapiens,Protein Binding,"ADRB2,CALM2",,5q32,0
130,ADRB2,CALM3,808,TAP;      MS,"calmodulin 3 (phosphorylase kinase, delta)",B4DJ51,23798571,Homo sapiens,Protein Binding,"ADRB2,CALM3",,5q32,0
131,ADRB2,CANX,821,TAP;      MS,calnexin,P27824,23798571,Homo sapiens,Protein Binding,"ADRB2,CANX",,5q32,0
132,ADRB2,CAPNS1,826,TAP;      MS,"calpain, small subunit 1",P04632,23798571,Homo sapiens,Protein Binding,"ADRB2,CAPNS1",,5q32,0
134,ADRB2,CLGN,1047,TAP;      MS,Calmegin,O14967,23798571,Homo sapiens,Protein Binding,"ADRB2,CLGN",,5q32,0
135,ADRB2,CNNM3,26505,TAP;      MS,cyclin M3,Q8NE01,23798571,Homo sapiens,Protein Binding,"ADRB2,CNNM3",,5q32,0
136,ADRB2,CUL2,8453,GST;      IP/WB;      LC-MS/MS;      Far Western Blot,cullin 2,Q13617,19584355,Homo sapiens,Protein Binding,"ADRB2,CUL2",,5q32,0
137,ADRB2,DAD1,1603,TAP;      MS,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,P61803,23798571,Homo sapiens,Protein Binding,"ADRB2,DAD1",,5q32,0
138,ADRB2,DLAT,1737,TAP;      MS,dihydrolipoamide S-acetyltransferase,P10515,23798571,Homo sapiens,Protein Binding,"ADRB2,DLAT",,5q32,0
139,ADRB2,DNAJB11,51726,TAP;      MS,"DnaJ (Hsp40) homolog, subfamily B, member 11",Q9UBS4,23798571,Homo sapiens,Protein Binding,"ADRB2,DNAJB11",,5q32,0
140,ADRB2,DSG2,1829,TAP;      MS,desmoglein 2,Q14126,23798571,Homo sapiens,Protein Binding,"ADRB2,DSG2",,5q32,0
141,ADRB2,EEF1A1,1915,TAP;      MS,eukaryotic translation elongation factor 1 alpha 1,P68104,23798571,Homo sapiens,Protein Binding,"ADRB2,EEF1A1",,5q32,0
142,ADRB2,EEF1B2,1933,TAP;      MS,eukaryotic translation elongation factor 1 beta 2,P24534,23798571,Homo sapiens,Protein Binding,"ADRB2,EEF1B2",,5q32,0
143,ADRB2,EEF1D,1936,TAP;      MS,eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein),B2RAR6,23798571,Homo sapiens,Protein Binding,"ADRB2,EEF1D",,5q32,0
144,ADRB2,EEF1G,1937,TAP;      MS,eukaryotic translation elongation factor 1 gamma,P26641,23798571,Homo sapiens,Protein Binding,"ADRB2,EEF1G",,5q32,0
145,ADRB2,EEF2,1938,TAP;      MS,eukaryotic translation elongation factor 2,P13639,23798571,Homo sapiens,Protein Binding,"ADRB2,EEF2",,5q32,0
146,ADRB2,EGLN3,112399,GST;      IP/WB;      LC-MS/MS;      Far Western Blot,egl nine homolog 3 (C. elegans),Q9H6Z9,19584355,Homo sapiens,Protein Binding,"ADRB2,EGLN3",,5q32,0
147,ADRB2,EIF2B1,1967,Y2H;      IP/WB,Translation initiation factor eIF-2B subunit alpha,Q14232,9235896,Homo sapiens,Protein Binding,"ADRB2,EIF2B1",,5q32,0
148,ADRB2,EIF4A1,1973,TAP;      MS,eukaryotic translation initiation factor 4A1,P60842,23798571,Homo sapiens,Protein Binding,"ADRB2,EIF4A1",,5q32,0
149,ADRB2,ERLIN2,11160,TAP;      MS,ER lipid raft associated 2,O94905,23798571,Homo sapiens,Protein Binding,"ADRB2,ERLIN2",,5q32,0
150,ADRB2,ETFB,2109,TAP;      MS,Electron transfer flavoprotein subunit beta,P38117,23798571,Homo sapiens,Protein Binding,"ADRB2,ETFB",,5q32,19q13.41
151,ADRB2,FAM162A,26355,TAP;      MS,Protein FAM162A,Q96A26,23798571,Homo sapiens,Protein Binding,"ADRB2,FAM162A",,5q32,0
152,ADRB2,FKBP8,23770,TAP;      MS,"FK506 binding protein 8, 38kDa",Q14318,23798571,Homo sapiens,Protein Binding,"ADRB2,FKBP8",,5q32,0
153,ADRB2,FLNA,2316,TAP;      MS,"filamin A, alpha",P21333,23798571,Homo sapiens,Protein Binding,"ADRB2,FLNA",,5q32,0
154,ADRB2,GAPDH,2597,TAP;      MS,glyceraldehyde-3-phosphate dehydrogenase,P04406,23798571,Homo sapiens,Protein Binding,"ADRB2,GAPDH",,5q32,0
155,ADRB2,GCDH,2639,TAP;      MS,glutaryl-CoA dehydrogenase,Q92947,23798571,Homo sapiens,Protein Binding,"ADRB2,GCDH",,5q32,0
156,ADRB2,GFM1,85476,TAP;      MS,"G elongation factor, mitochondrial 1",E5KND5,23798571,Homo sapiens,Protein Binding,"ADRB2,GFM1",,5q32,0
157,ADRB2,GNAI2,2771,Bioluminescence resonance energy transfer assay,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2",B3KP24,15782186,Homo sapiens,Protein Binding,"ADRB2,GNAI2",,5q32,0
158,ADRB2,GNAI3,2773,TAP;      MS,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3",P08754,23798571,Homo sapiens,Protein Binding,"ADRB2,GNAI3",,5q32,0
159,ADRB2,GNAS,2778,Bioluminescence resonance energy transfer assay,Neuroendocrine secretory protein 55,O95467,15782186,Homo sapiens,Protein Binding,"ADRB2,GNAS",,5q32,20q13.32
160,ADRB2,GNB1,2782,Bioluminescence resonance energy transfer assay,"guanine nucleotide binding protein (G protein), beta polypeptide 1",P62873,15782186,Homo sapiens,Protein Binding,"ADRB2,GNB1",,5q32,0
161,ADRB2,GNB2,2783,TAP;      MS,"guanine nucleotide binding protein (G protein), beta polypeptide 2",P62879,23798571,Homo sapiens,Protein Binding,"ADRB2,GNB2",,5q32,0
162,ADRB2,GNB2L1,10399,TAP;      MS,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1",P63244,23798571,Homo sapiens,Protein Binding,"ADRB2,GNB2L1",,5q32,0
163,ADRB2,GNB4,59345,TAP;      MS,"guanine nucleotide binding protein (G protein), beta polypeptide 4",Q9HAV0,23798571,Homo sapiens,Protein Binding,"ADRB2,GNB4",,5q32,0
164,ADRB2,GNG12,55970,TAP;      MS,"guanine nucleotide binding protein (G protein), gamma 12",Q69YP5,23798571,Homo sapiens,Protein Binding,"ADRB2,GNG12",,5q32,0
165,ADRB2,GNG2,54331,Bioluminescence resonance energy transfer assay,"guanine nucleotide binding protein (G protein), gamma 2",P59768,15782186,Homo sapiens,Protein Binding,"ADRB2,GNG2",,5q32,0
167,ADRB2,GRK6,2870,IP/WB,G protein-coupled receptor kinase 6,P43250,9819198,Homo sapiens,Protein Modification,"ADRB2,GRK6",,5q32,0
168,ADRB2,HADHB,3032,TAP;      MS,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit",P55084,23798571,Homo sapiens,Protein Binding,"ADRB2,HADHB",,5q32,0
169,ADRB2,HLA-B,3106,TAP;      MS,"major histocompatibility complex, class I, B",P01889,23798571,Homo sapiens,Protein Binding,"ADRB2,HLA-B",,5q32,6p21.33
170,ADRB2,HLA-C,3107,TAP;      MS,"major histocompatibility complex, class I, C",O19617,23798571,Homo sapiens,Protein Binding,"ADRB2,HLA-C",,5q32,0
171,ADRB2,HNRNPA2B1,3181,TAP;      MS,heterogeneous nuclear ribonucleoprotein A2/B1,P22626,23798571,Homo sapiens,Protein Binding,"ADRB2,HNRNPA2B1",,5q32,0
172,ADRB2,HNRNPF,3185,TAP;      MS,eterogeneous nuclear ribonucleoprotein F,P52597,23798571,Homo sapiens,Protein Binding,"ADRB2,HNRNPF",,5q32,10q11.21
173,ADRB2,HNRNPH1,3187,TAP;      MS,heterogeneous nuclear ribonucleoprotein H1 (H),P31943,23798571,Homo sapiens,Protein Binding,"ADRB2,HNRNPH1",,5q32,0
174,ADRB2,HNRNPK,3190,TAP;      MS,heterogeneous nuclear ribonucleoprotein K,P61978,23798571,Homo sapiens,Protein Binding,"ADRB2,HNRNPK",,5q32,9q21.32
175,ADRB2,HNRNPU,3192,TAP;      MS,heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A),Q00839,23798571,Homo sapiens,Protein Binding,"ADRB2,HNRNPU",,5q32,1q44
176,ADRB2,HSD17B12,51144,TAP;      MS,hydroxysteroid (17-beta) dehydrogenase 12,Q53GQ0,23798571,Homo sapiens,Protein Binding,"ADRB2,HSD17B12",,5q32,0
177,ADRB2,HSD17B4,3295,TAP;      MS,hydroxysteroid (17-beta) dehydrogenase 4,B2R659,23798571,Homo sapiens,Protein Binding,"ADRB2,HSD17B4",,5q32,0
178,ADRB2,HSDL2,84263,TAP;      MS,hydroxysteroid dehydrogenase like 2,Q6YN16,23798571,Homo sapiens,Protein Binding,"ADRB2,HSDL2",,5q32,0
179,ADRB2,HSP90B1,7184,TAP;      MS,"heat shock protein 90kDa beta (Grp94), member 1",P14625,23798571,Homo sapiens,Protein Binding,"ADRB2,HSP90B1",,5q32,0
180,ADRB2,HSPA1A,3303,TAP;      MS,heat shock 70kDa protein 1A,P08107,23798571,Homo sapiens,Protein Binding,"ADRB2,HSPA1A",,5q32,0
181,ADRB2,HSPA1B,3304,TAP;      MS,heat shock 70kDa protein 1B,A8K5I0,23798571,Homo sapiens,Protein Binding,"ADRB2,HSPA1B",,5q32,0
182,ADRB2,HSPA5,3309,TAP;      MS,"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)",Q2KHP4,23798571,Homo sapiens,Protein Binding,"ADRB2,HSPA5",,5q32,0
183,ADRB2,HSPA9,3313,TAP;      MS,heat shock 70kDa protein 9 (mortalin),P38646,23798571,Homo sapiens,Protein Binding,"ADRB2,HSPA9",,5q32,0
184,ADRB2,HSPD1,3329,TAP;      MS,heat shock 60kDa protein 1 (chaperonin),P10809,23798571,Homo sapiens,Protein Binding,"ADRB2,HSPD1",,5q32,0
185,ADRB2,IDH2,3418,TAP;      MS,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",P48735,23798571,Homo sapiens,Protein Binding,"ADRB2,IDH2",,5q32,0
